Image,PFP no.,Holder discord,Artist,Event,OG file Link,,,,,,Snap 1
,CCKK065,popnad,notpopnad,,https://drive.google.com/file/d/1aL_g8_S4idmn_V3AX7QwAp0_21ko5PhL/view?usp=drive_link,,,,,,
,CCKK066,tiggerland,@tigger_landb,,https://drive.google.com/file/d/1fbrFyLNb89Ra7sB7FLHbrhVRQRHyxzSg/view?usp=drive_link,,,,,,
,CCKK067,adam.mon,@adamdotmon,,https://drive.google.com/file/d/1zeuRQ2VSuug4NI5hq_wGVPmSmTjutuzg/view?usp=drive_link,,,,,,
,CCKK068,littlemonkeyb,Puichii,,https://drive.google.com/file/d/1dVlYMe9cMV3auMMzPOMKS3-k15iVnGhH/view?usp=drive_link,,,,,,
,CCKK069,eric6414,@eric168eth,,https://drive.google.com/file/d/1jUm-KIZzR8pQ9ahDJmFzqnmzxXiT4Ptm/view?usp=drive_link,,,,,,
,CCKK070,beans_xyz,beans_xyz,,https://drive.google.com/file/d/1oDJcZCM2vMj6e59ec8LQUIsZegz7yAtM/view?usp=drive_link,,,,,,
,CCKK071,,Sota,,https://drive.google.com/file/d/1bCVpD2JxyRUVSQEodo4lCCCe5HKU5fls/view?usp=drive_link,,,,,,
,CCKK072,dawnsandsunsets,Sota,,https://drive.google.com/file/d/1Zp56xoxRwqBBXMVkFGxGbLluIIW2KFV8/view?usp=drive_link,,,,,,
,CCKK073,Barberleee,Sota,,https://drive.google.com/file/d/1NrK-LekHln6TjwHALdDzlc5cMh-xNSRv/view?usp=drive_link,,,,,,
,CCKK074,0xkh1n,Sota,,https://drive.google.com/file/d/16FnAmKSrpQpk8xapKnxfRq8b8j9YY42a/view?usp=drive_link,,,,,,
,CCKK075,onlinelink,Sota,,https://drive.google.com/file/d/1EJ3yL0expf1vpiPjNmBGkPXVoYcQgkYa/view?usp=drive_link,,,,,,
,CCKK076,vuvanhung,Sota,,https://drive.google.com/file/d/1l2luW91cE60s3FT66vxVifzDFwgiiCKO/view?usp=drive_link,,,,,,
,CCKK077,kan2106,Sota,,https://drive.google.com/file/d/1qrGM9cIUr-5sCQnh-YXEl5VnMX54BDJs/view?usp=drive_link,,,,,,
,CCKK078,onig1ri,Sota,,https://drive.google.com/file/d/1JPCYsmyOqt9oQX4gWZa5NIuTXF5IRUYG/view?usp=drive_link,,,,,,
,CCKK079,_neitenoz26,Sota,,https://drive.google.com/file/d/1AMJJGRKYVSMP1MNbTvbAtRxVxf3EjBPY/view?usp=drive_link,,,,,,
,CCKK080,_yeeet,Sota,,https://drive.google.com/file/d/1h73ujcAXjErsjUCSgD2A1faPCww01CV2/view?usp=drive_link,,,,,,
,CCKK081,chommymoney,Sota,,https://drive.google.com/file/d/1OWgq4a7fi_zrzzuLWyiWdgXa0BUPCdZ1/view?usp=drive_link,,,,,,
,CCKK082,echo_0102,Sota,,https://drive.google.com/file/d/1-ROhLKQ7z_HawO5_RrJSqzbFy693PADk/view?usp=drive_link,,,,,,
,CCKK083,jnjeannieeee,Sota,,https://drive.google.com/file/d/1XM1jUUWy0WM8QdI3HX16mtiRAd3bLP9Z/view?usp=drive_link,,,,,,
,CCKK084,moonnabi_web3,Sota,,https://drive.google.com/file/d/1qDUUcL6U-y5n1EM9vGjIk8BmDzNzBKVa/view?usp=drive_link,,,,,,
,CCKK085,kwei._.,Sota,,https://drive.google.com/file/d/1QbAtTumyTN9mIY89P1WbAlnV6bk1GT6a/view?usp=drive_link,,,,,,
,CCKK086,diegovas_,Sota,,https://drive.google.com/file/d/12n2Dw2na0-CdEli-VGZFwGJAjLAPoodC/view?usp=drive_link,,,,,,
,CCKK087,qmbich,Sota,,https://drive.google.com/file/d/1onWlLVkSg8zCqLlSQqwZRXOSymA5qrT2/view?usp=drive_link,,,,,,
,CCKK088,yotdanz,Sota,,https://drive.google.com/file/d/1V6h5pISjEi0ZsA3HvtnA5BEWHynO7Srz/view?usp=drive_link,,,,,,
,CCKK089,platoospace,Sota, limited Valentine,https://drive.google.com/file/d/1GBl0P5U9uZnAJUxvAJ5hzVYsJzBL997o/view?usp=drive_link,,,,,,
,CCKK090,sanji09497,Peggy, limited Valentine,https://drive.google.com/file/d/1A1PSxegiDN3ByHDHF6dzSJNg_HMBFQUI/view?usp=drive_link,,,,,,
,CCKK091,cocoisgoodcat,Peggy, limited Valentine,https://drive.google.com/file/d/1ujhlbzBpcZMPdtjHaLi4opWQVJjxnVN6/view?usp=drive_link,,,,,,
,CCKK092,phuketpro,Peggy, limited Valentine,https://drive.google.com/file/d/1PY9ouxZ9XiOBJ0Oi-Aza4_FuEbOG-vg3/view?usp=drive_link,,,,,,
,CCKK093,jing.joe,Peggy,limited Valentine,https://drive.google.com/file/d/1ltC0-lqFtIKQy0kuW65Iy-4Rmw5HkiMt/view?usp=drive_link,,,,,,
,CCKK094,skyfall_tk,Sota,limited Valentine,https://drive.google.com/file/d/1Vm7-nOJx-jrDCjHpJHQV654Reigx_sR0/view?usp=drive_link,,,,,,
,CCKK095,huak01,Sota,limited Valentine,https://drive.google.com/file/d/1mILVzYqGg8hyB6q1G5PmADeXvmTLmxNj/view?usp=drive_link,,,,,,
,CCKK096,elforjani_ali,Sota,,https://drive.google.com/file/d/1dHYt0iIIPtd-SeXCrvVuXEQ4WC_oAjT9/view?usp=drive_link,,,,,,
,CCKK097,Daisy,Peggy,,https://drive.google.com/file/d/1tcSrkrT1rozcS-fZeYo7EIaGcSwZJb6Z/view?usp=drive_link,,,,,,
,CCKK098,rLaquita09,Sota,,https://drive.google.com/file/d/1KtNj7FesriEd3DoixKsjaLMs3wL8LqU4/view?usp=drive_link,,,,,,
,CCKK099,diem_quynh72064,Peggy,,https://drive.google.com/file/d/1Mw-Kyb0ftOXt_0sBAbuy7Ce-xSqKyl11/view?usp=drive_link,,,,,,
,CCKK100,cactus_doggy,Sota,,https://drive.google.com/file/d/1h8gcMsWct19drC4Jx5QFNClYVRZ-aS4H/view?usp=drive_link,,,,,,
,CCKK101,Minchich1,Sota ,,https://drive.google.com/file/d/1LlGhLkMGiuVP85xGUuu--8_M58XFwJvN/view?usp=drive_link,,,,,,
,CCKK102,Blippi,Sota,, https://drive.google.com/file/d/1HTjSoTD_TFAGKazPlR9MDkmRDBO0RK8g/view?usp=drive_link,,,,,,
,CCKK103,Potato_king,Peggy,,https://drive.google.com/file/d/1H2A0k-GuxbL3S9dbfrwGxcH9IwpSINmb/view?usp=drive_link,,,,,,
,CCKK104,PopeyeTrades,Peggy,,https://drive.google.com/file/d/1hdAHHfrPxO6HuEOsy1QkIbRm7J89oi_m/view?usp=drive_link,,,,,,
,CCKK105,ingjang,Peggy,WheredoesMoncockgo,Cckk_105.webp,,,,,,
,CCKK106,NoseCucumber,Sota,,https://drive.google.com/file/d/1yU-Fb_3k6wiMq9jm88xec0qo_Mw5XpZf/view?usp=drive_link,,,,,,
,CCKK107,Saboor1N,Sota,,https://drive.google.com/file/d/1NKcxGax7rFCwto0s4rDATCuzp4oWltPY/view?usp=drive_link,,,,,,
,CCKK108,Rachelee,Sota,,Cckk_108.webp,,,,,,
,CCKK109,Hagenweb3,Sota,,,,,,,,
,CCKK110,Hallelujah ,Sota,,,,,,,,
,CCKK111,Jasonnads,Jake,,,,,,,,
,CCKK112,Icebear,Sota,,,,,,,,
,CCKK113,Prince_croco,Sota,,,,,,,,
,CCKK114,Roblucci,Sota,,,,,,,,
